ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,44,0.45,0.48641,0.34615,0.64286
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,45,0.50909,0.56142,0.4,0.7
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,46,0.38384,0.42283,0.31148,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,47,0.3871,0.42982,0.30508,0.52941
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,48,0.41379,0.42221,0.32143,0.58065
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,49,0.43299,0.34367,0.36207,0.53846
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,0,0.0,0.07964,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,1,0.0,0.04724,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,2,0.25,0.21397,0.2,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,3,0.0,0.04299,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,4,0.0,0.07392,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,5,0.0,0.08664,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,6,0.15385,0.13335,0.09091,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,7,0.2,0.18842,0.14286,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,8,0.16667,0.2292,0.09091,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,9,0.0,0.0866,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,10,0.2,0.22197,0.11111,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,11,0.0,0.07995,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,12,0.0,0.04923,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,13,0.0,0.04152,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,14,0.0,0.05982,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,15,0.125,0.13542,0.07692,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,16,0.0,0.06378,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,17,0.0,0.00634,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,18,0.25,0.19103,0.14286,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,19,0.0,0.0592,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,20,0.0,0.05083,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,21,0.0,0.13095,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,22,0.28571,0.17696,0.2,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,23,0.18182,0.18708,0.1,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,24,0.0,0.01777,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,25,0.0,0.0144,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,26,0.14286,0.22093,0.08333,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,27,0.13333,0.15712,0.07143,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,28,0.0,0.03796,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,29,0.0,0.03734,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,30,0.15385,0.13607,0.08333,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,31,0.0,0.01411,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,32,0.0,0.0541,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,33,0.0,0.02157,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,34,0.0,0.02904,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,35,0.0,0.029,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,36,0.0,0.02747,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,37,0.15385,0.18317,0.08333,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,38,0.0,0.019,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,39,0.15385,0.14542,0.08333,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,40,0.2,0.22579,0.125,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,41,0.2,0.14813,0.11111,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,42,0.0,0.03312,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,43,0.0,0.03172,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,44,0.14286,0.1421,0.08333,0.5
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,45,0.0,0.04467,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,46,0.28571,0.19276,0.16667,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,47,0.33333,0.20643,0.2,1.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,48,0.0,0.08174,0.0,0.0
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,49,0.15385,0.2207,0.08333,1.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,0,0.0,0.13476,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,1,0.0,0.06085,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,2,0.33333,0.20903,0.2,1.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,3,0.0,0.0841,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,4,0.0,0.07141,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,5,0.0,0.12112,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,6,0.16667,0.12496,0.09091,1.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,7,0.2,0.22845,0.14286,0.33333
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,8,0.15385,0.1415,0.09091,0.5
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,9,0.0,0.09255,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,10,0.2,0.24669,0.11111,1.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,11,0.0,0.05832,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,12,0.0,0.04605,0.0,0.0
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,13,0.0,0.04809,0.0,0.0
